spotify_id,popularity,danceability,energy,acousticness,instrumentalness,liveness,speechiness,tempo,valence,mode,key,album_release_date,release_year,release_month,release_day,release_recency,first_snapshot_date,last_snapshot_date,days_on_spotify,popularity_class
2rJb5rh0jR6NzqY9JEbstv,40,0.79,0.578,0.295,0.0,0.121,0.117,111.07099999999998,0.40599999999999997,0.0,9.0,2023-11-10,2023,11,10,376,2023-11-24,2023-11-29,5,0
2rLHjGObK4sfhIatgR6l6h,0,0.405,0.388,0.581,8.44e-05,0.116,0.124,139.642,0.29,1.0,4.0,2024-02-23,2024,2,23,271,2024-02-25,2024-02-25,0,0
2rMhztfOqEt00j47vpCfKl,73,0.739,0.871,0.0883,5.63e-06,0.495,0.0678,107.964,0.108,1.0,8.0,2024-05-22,2024,5,22,182,2024-09-25,2024-09-25,0,2
2rOnSn2piaqLAlYjtfUBlY,78,0.72,0.63,0.615,0.0,0.108,0.04130000000000001,81.009,0.512,1.0,10.0,2021-07-30,2021,7,30,1209,2023-10-18,2023-12-16,59,2
2rPdX03oo3WO9eAcDBZhhZ,65,0.566,0.67,0.000639,0.0,0.213,0.0401,150.791,0.337,1.0,9.0,2023-09-08,2023,9,8,439,2023-10-18,2023-12-16,59,1
2rT6xyUhl3d1rGnvSjnWXz,45,0.753,0.849,0.575,0.0,0.0652,0.0692,93.597,0.691,0.0,8.0,2019-06-11,2019,6,11,1989,2024-07-02,2024-08-12,41,0
2rTyn90zxRJdSRxy7ptEEb,59,0.78,0.644,0.116,2.41e-06,0.11300000000000002,0.0642,145.015,0.0661,1.0,1.0,2023-11-27,2023,11,27,359,2023-11-29,2023-12-16,17,1
2rUTqrOSkNZlBG7RnjaQSy,59,0.567,0.642,0.322,2.69e-05,0.175,0.277,138.815,0.829,0.0,0.0,2024-02-16,2024,2,16,278,2024-02-18,2024-03-06,17,1
2rVrFAV4XPF0gonpDwvFQI,68,0.413,0.615,0.819,0.0,0.109,0.338,175.404,0.593,0.0,0.0,2024-07-18,2024,7,18,125,2024-07-20,2024-09-14,56,1
2rWPeV0Wvjx8VpAyOsfgir,67,0.827,0.745,0.0935,7.71e-06,0.34,0.125,130.029,0.501,0.0,10.0,2024-03-15,2024,3,15,250,2024-03-16,2024-03-23,7,1
2rZIyoaIZBaWtr1954sxyO,36,0.672,0.661,0.563,0.000152,0.222,0.03,141.883,0.97,1.0,3.0,2014-05-23,2014,5,23,3834,2024-03-24,2024-04-10,17,0
2raFBS5ysJMxhd755bvAcf,70,0.658,0.798,0.0341,0.0,0.175,0.138,135.515,0.568,1.0,0.0,2023-11-03,2023,11,3,383,2024-01-14,2024-02-12,29,1
2rbJPlfiqG79nOoz7uytxg,48,0.615,0.461,0.308,0.0,0.085,0.222,94.032,0.378,0.0,5.0,2024-04-14,2024,4,14,220,2024-04-28,2024-05-14,16,1
2rfl7SRwfel3gNhXBmL60u,63,0.565,0.764,0.371,0.00192,0.123,0.306,94.686,0.734,0.0,5.0,2022-10-15,2022,10,15,767,2023-10-18,2024-04-15,180,1
2rh4EGUcaSSSir82rbfoua,57,0.623,0.45299999999999996,0.055099999999999996,0.000406,0.376,0.291,133.01,0.243,0.0,11.0,2024-06-27,2024,6,27,146,2024-07-12,2024-10-31,111,1
2riBo7Y0x7MoFCN6fv5yue,46,0.709,0.804,0.0229,0.558,0.0386,0.0378,126.998,0.728,0.0,6.0,2014-03-21,2014,3,21,3897,2024-01-02,2024-04-08,97,1
2rkDwpmqASO9ZmUFjqwrR3,78,0.6149999999999999,0.931,0.038,0.0,0.135,0.0325,123.99199999999999,0.536,0.0,0.0,2010-04-01,2010,4,1,5347,2023-12-19,2024-07-26,220,2
2rlkf3HTKwY9UcbvhlUyiW,43,0.764,0.667,0.205,0.0,0.093,0.0566,107.002,0.588,0.0,0.0,2024-10-02,2024,10,2,49,2024-10-06,2024-10-06,0,0
2rpbU67Z8u8D21wdP9ObRU,62,0.556,0.75,0.0953,6.64e-05,0.259,0.245,151.967,0.291,1.0,2.0,2023-10-28,2023,10,28,389,2023-10-30,2023-11-02,3,1
2rrYv7MofdZq0XANyDzyf2,32,0.73,0.778,0.254,2.35e-06,0.138,0.23,140.006,0.225,0.0,1.0,2023-11-10,2023,11,10,376,2023-11-12,2023-11-12,0,0
2rsgLGPye44upKKl5qmUQh,66,0.759,0.501,0.282,0.0,0.595,0.165,77.518,0.405,0.0,3.0,2022-04-04,2022,4,4,961,2024-01-24,2024-01-24,0,1
2rtKBSpEgk2PBbMDjjuKtV,54,0.354,0.873,0.00122,1.73e-06,0.179,0.119,152.169,0.315,1.0,6.0,2015-10-23,2015,10,23,3316,2023-11-18,2023-11-18,0,1
2ruaU00oF7QNnZl3pU6IDo,54,0.713,0.742,0.314,0.1,0.11,0.0395,130.001,0.198,0.0,6.0,2023-10-20,2023,10,20,397,2023-10-22,2023-10-28,6,1
2rui6bCZAz3yJ7YFQeyWMq,65,0.326,0.511,0.333,0.0,0.102,0.0375,83.01,0.21199999999999997,1.0,0.0,2016-11-25,2016,11,25,2917,2023-11-20,2023-12-28,38,1
2rxQMGVafnNaRaXlRMWPde,82,0.551,0.402,0.676,0.0,0.0928,0.0262,103.313,0.382,1.0,11.0,2018-06-01,2018,6,1,2364,2024-09-25,2024-09-26,1,2
